baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010	2292.17603937167	0.613375301339855	0.375514711585428	1.63342548884483	0.102379539901765	0.617227727556776
AT1G01020	2957.80341281312	-0.126328311901299	0.163994388104348	-0.770320944280835	0.441109535430072	0.8858930562245
AT1G03987	6.61534345020878	-0.72880739839038	0.933515715745852	-0.780712510884816	0.434971600651065	NA
AT1G01030	331.583041576025	-0.0298540276246153	0.194023066412386	-0.153868445523699	0.877713464593321	0.985397353354065
AT1G01040	9764.77202188894	-0.255620310824159	0.192948559342412	-1.3248106733491	0.185233953846638	0.73145122118621
AT1G01046	127.614315365225	-0.402978657895234	0.502322968708589	-0.802230204466348	0.422419807458663	0.880258578454763
AT1G01050	8601.8670651361	0.0223945983121562	0.104300472345379	0.214712338387109	0.829991602287215	0.978928144660266
AT1G01060	562.357743413208	-0.203559335746951	0.322890388471766	-0.63042860058608	0.52841420332429	0.917369974210393
AT1G01070	1123.48912932362	0.340062804747147	0.188683620140066	1.80229107590107	0.0714996218478481	0.537364961253996
AT1G01080	5258.23498872401	0.181303760822386	0.265639583666093	0.682517862436811	0.494911551846695	0.905665965476659
AT1G01090	16202.1048054568	-0.132083626359931	0.139252628703397	-0.948518010681613	0.3428658082943	0.846462227498778
AT1G01100	22752.8421353101	-0.233423152970407	0.247305160601696	-0.943866890615973	0.345237673236276	0.847361259083435
AT1G01110	648.762457204187	-0.270574080717321	0.249996727542955	-1.08231049012764	0.279114586296673	0.809609098008698
AT1G01120	7640.3137803085	0.641787592128233	0.413411175166511	1.55241955389749	0.120561867688875	0.648216089522083
AT1G01130	1008.60905416096	0.411958803565482	0.234943421391329	1.75343834326525	0.079526794219549	0.55934523912417
AT1G01140	9957.17267459015	0.705960606137033	0.269208659498783	2.62235474687701	0.00873244827002055	0.224246134167564
AT1G01150	55.9315760650869	-0.568788312406652	0.515159902279508	-1.10410051304429	0.269549538756771	0.80442811201003
AT1G01160	3669.02704075802	0.112935999151291	0.117960735845637	0.957403311717883	0.338363727553767	0.844144323095767
AT1G04007	110.486184332351	0.0850974796287599	0.213742086591866	0.398131603305861	0.690533179770359	0.956075560594245
AT1G01170	2657.78279598009	0.212000198172517	0.233702664701628	0.907136418162715	0.364334661666485	0.854683567471374
AT1G04013	42.2984753685389	-0.542505722159861	0.685857945765138	-0.790988462712415	0.428950724057449	0.882400345910596
AT1G01180	1481.69308857372	0.215348323815776	0.168128501043207	1.28085555084104	0.200244407806299	0.744686928351477
AT1G01183	7.43274772932796	-1.11994699145364	1.24803776646604	-0.897366266907851	0.369523506581803	0.85690745699356
AT1G01190	1914.37511745992	0.0851451626940333	0.309336620971688	0.275250833304429	0.783123535288582	0.973609678231121
AT1G01200	151.208832404386	0.055921889087275	0.526793493504068	0.106155238773546	0.915459184489612	0.991066992431092
AT1G01210	1372.55654284263	0.144450759372482	0.182902427844571	0.789769502104345	0.429662393096257	0.882794375971428
AT1G01220	3979.52458080204	0.0927700799856174	0.109922537151227	0.843958685724188	0.39869249252326	0.871868176567456
AT1G01225	487.817109768213	0.0332397235715116	0.145634967305465	0.228239990618409	0.81945967376677	0.977511606213411
AT1G01230	4191.81646476578	0.165134654987824	0.126637398114398	1.30399595574958	0.192234961291309	0.736639566361848
AT1G01240	2579.66301356202	0.0287653866639801	0.313331819270477	0.0918048691350718	0.926853075392083	0.991832564735557
AT1G01250	33.4388497908261	1.66653902502288	0.750321908485243	2.22109871266761	0.0263442762210743	0.364835614340399
AT1G01260	5612.92579382963	0.00584731634943805	0.306852970798515	0.0190557592915647	0.984796623985741	0.998545210924725
AT1G01280	71.6003379769993	-0.621930868930094	0.586462473620534	-1.0604785419442	0.288926947023019	0.813156618437512
AT1G01290	2310.92635660116	0.103203954885459	0.127161245729193	0.811599118061851	0.417021697521824	0.878480305828147
AT1G01300	7872.69568429691	-0.096448228798132	0.183275621901565	-0.526246905057199	0.598716668156631	0.936238787425402
AT1G01305	103.913212194081	-0.00561325358222669	0.675501971648268	-0.00830975158892579	0.993369853807288	0.998989114920919
AT1G01310	2287.75919500821	-0.0598139505788308	0.477529792191547	-0.125257002928182	0.900320090720879	0.988068168415792
AT1G01320	51927.86002002	0.158843390784881	0.475543472715888	0.334024962802469	0.738360721851576	0.966086870009321
AT1G01340	7979.46800259028	0.263716078717833	0.307872428104619	0.856575823763663	0.391679351633928	0.868311297068739
AT1G01350	3771.22981576772	0.00612806774228511	0.230744834381819	0.0265577678421388	0.97881245774732	0.998545210924725
AT1G01355	32.2003926316349	-0.443814159956339	0.474228128372728	-0.935866376124183	0.34934199104264	0.847635641069436
AT1G01360	1809.41985414201	0.0338634602541288	0.150715308707309	0.22468494106257	0.822224380392297	0.977511606213411
AT1G01370	422.773379117163	-0.313635222095147	0.223063021089224	-1.40603861887845	0.159712657411626	0.698935407933405
AT1G01380	868.649322458536	-0.0699064677968567	0.376058418397058	-0.185892575134554	0.85252900490421	0.982852762557238
AT1G01390	226.591696895934	-0.101446555943111	0.289603150280217	-0.350295070495441	0.726117264376248	0.964449550426407
AT1G01400	50.5199816355545	-0.699669101724736	0.700856404474229	-0.998305925804611	0.318131035012205	0.833412663632089
AT1G01410	30.9370930585329	-0.104915947310327	0.553924642610746	-0.189404729884988	0.849775617653574	0.982274760303356
AT1G01420	453.091511515501	-0.0727321766436198	0.385615007441401	-0.188613449269535	0.850395791024486	0.982469718944091
AT1G01430	2639.28383724674	0.116684213140848	0.248651607585985	0.469267881569992	0.638878170008989	0.943963831267215
AT1G01440	4540.03608939722	0.00678103090296432	0.175549776868286	0.0386273968781634	0.969187459038447	0.996395857734652
AT1G01448	1355.98715466601	-0.052007789368962	0.31801325675989	-0.163539689819376	0.87009352581882	0.984858340235752
AT1G01453	486.328347656429	0.241567721372015	0.371019478000672	0.651091750421733	0.514987261494794	0.914296205746876
AT1G01460	411.121764546498	-0.594764445392919	0.500764889493919	-1.18771195399501	0.234946912546569	0.775673342125084
AT1G01470	31761.6930735639	0.304500346669161	0.263656564994621	1.1549128187852	0.248126129490319	0.7857746641626
AT1G01480	823.157099176826	-0.676197142957381	0.336168804235218	-2.01148094183137	0.0442746813730269	0.456355119850188
AT1G01490	13980.3428580444	-0.0802920172261324	0.196984255986252	-0.407606266927932	0.683562762613503	0.95397104578144
AT1G01500	2647.21355870131	-0.294572866967921	0.185562008109915	-1.58746324190152	0.1124077657687	0.636676478174599
AT1G01510	6398.82925241618	-0.0289734560441991	0.107507277376362	-0.269502276973947	0.787543190245629	0.973711167219715
AT1G01520	708.499490484424	-0.39441282398604	0.228084448271897	-1.72924031855019	0.0837660931176909	0.571182794182724
AT1G01530	65.2522082418909	-0.270466142982769	0.447136642516025	-0.604884765115344	0.545255566558585	0.922073784009389
AT1G01540	8147.29665283301	0.0144106090725641	0.164623365485653	0.0875368391968638	0.93024480435997	0.992396927615505
AT1G01550	43330.2374182582	-0.0324708003575693	0.119075893641633	-0.272689957341765	0.785091555126328	0.973711167219715
AT1G01560	20782.5121980801	0.0928606642247233	0.219686218894054	0.422696811353043	0.672516482337896	0.951059170488398
AT1G01570	333.947967594384	0.546712947333684	0.208461759016019	2.62260545969811	0.00872602571599607	0.224246134167564
AT1G01580	803.033177202972	-0.387895073805853	0.271908254437851	-1.42656601068546	0.1537050271936	0.692225561096216
AT1G01590	69.7713214908397	0.136912331858506	0.530658221206277	0.258004731458378	0.796403255646179	0.974763436568066
AT1G01600	347.014440825734	0.519642142577578	0.34122244015485	1.52288384767942	0.12778776752978	0.657752959853724
AT1G01610	5786.55528056353	0.448789415651276	0.312301931513224	1.43703695163433	0.150707494258411	0.68692833778714
AT1G01620	30917.5736577672	0.0736248631053111	0.196149932466777	0.375349928391035	0.707400238424828	0.961396267623159
AT1G01630	5780.90760446954	0.378172786254608	0.234247601474762	1.61441476400924	0.106437491427044	0.625205164097167
AT1G01640	2131.02078036893	-0.250181060161145	0.200009494895411	-1.25084591754991	0.210990698553596	0.757682729924093
AT1G01650	13369.0322869509	0.078425914099186	0.135624284056333	0.57825864036717	0.563089513505598	0.927821226435229
AT1G04027	402.368399192774	-0.30496915004054	0.259034686058941	-1.1773293943003	0.239064058980353	0.779494016484844
AT1G01660	1072.65305800452	0.181837222918769	0.342852078577329	0.530366400790993	0.595857916805412	0.934944922313446
AT1G01670	888.92675110697	0.0218229784962372	0.298629822405457	0.0730770233208912	0.941744825496795	0.994147188580064
AT1G01680	3245.78902709333	0.604328634377074	0.748965614419117	0.806884351888143	0.419733115013317	0.8788387611612
AT1G01690	780.454006646907	-0.383121380526281	0.128921694837408	-2.97173707659881	0.00296120152749076	0.128137617172798
AT1G01695	135.641355926102	-0.425884957624071	0.269619978680652	-1.57957492507817	0.114204245407694	0.639518920257969
AT1G04033	9.54298349072928	1.25438149742398	0.797902710673044	1.57209830301978	0.115927755010279	0.642752297082168
AT1G04037	95.1912524628698	0.343138325596745	0.245889359152155	1.39549888120377	0.162865451933737	0.703136064380369
AT1G01700	541.11739060622	-0.0960954028136166	0.150530995514186	-0.63837618614939	0.523228828878495	0.915432200176774
AT1G01710	6385.77118836207	0.167763720719463	0.117375284774531	1.42929340739597	0.152919920055806	0.691328734094383
AT1G01715	762.473646081862	0.0298416871879315	0.157164556717271	0.189875426185401	0.849406749214247	0.982143484557452
